Time [s],DAQ_Voltage_[V],Load_Current_[A]
0.0,4.168462596,0.0
0.9980573654174805,4.183890324,0.0
1.9981145858764648,4.168462596,0.0
2.998171806335449,4.173605172,0.0
3.9982285499572754,4.178747748,0.0
4.99828577041626,4.178747748,0.0
5.998342990875244,4.168462596,0.0
6.9984002113342285,4.173605172,0.0
7.998457431793213,4.178747748,0.0
8.99951457977295,4.168462596,0.0
9.998571872711182,4.173605172,0.0
10.998629093170166,4.173605172,0.0
11.99868631362915,4.1633200200000005,0.0
12.999743461608887,4.1633200200000005,0.0
15.997915267944336,4.1633200200000005,0.0
16.99797248840332,4.003900164,0.0
17.999029636383057,4.019327892000001,2.182
18.99808645248413,3.998757588,2.182
19.998143672943115,3.9884724360000003,2.182
20.99920129776001,4.003900164,2.182
21.998258113861084,3.9884724360000003,2.182
22.99831533432007,3.9884724360000003,2.182
23.998372554779053,3.9884724360000003,2.182
24.999430179595947,3.98332986,2.182
25.99948740005493,3.98332986,2.182
26.998544216156006,3.98332986,2.182
27.99860143661499,3.9884724360000003,2.182
28.998658657073975,3.973044708,2.182
29.99871587753296,3.98332986,2.182
30.998773097991943,3.98332986,2.182
31.997830390930176,3.978187284,2.182
32.99888753890991,3.973044708,2.182
33.9989447593689,3.9679021320000003,2.182
34.99800157546997,3.973044708,2.182
35.999059200286865,3.973044708,2.182
36.99811601638794,3.9884724360000003,2.182
37.998173236846924,3.9679021320000003,2.182
38.99823045730591,3.9679021320000003,2.182
39.99828767776489,3.9627595560000004,2.182
40.99834489822388,3.9679021320000003,2.182
41.99840211868286,3.95761698,2.182
42.998459339141846,3.9627595560000004,2.182
43.99951648712158,3.973044708,2.182
44.999573707580566,3.973044708,2.182
45.99963092803955,3.9679021320000003,2.182
46.99868822097778,3.952474404,2.182
47.997745513916016,3.952474404,2.182
48.99880266189575,3.973044708,2.182
49.997859954833984,3.952474404,2.182
50.99791717529297,3.952474404,2.182
51.998974323272705,3.95761698,2.182
52.99803113937378,3.952474404,2.182
53.998088359832764,3.952474404,2.182
54.99914598464966,3.9473318280000003,2.182
55.99920320510864,3.95761698,2.182
56.99826002120972,3.9473318280000003,2.182
57.99931716918945,3.952474404,2.182
58.99937438964844,3.9627595560000004,2.182
59.99843168258667,3.95761698,2.182
60.9974889755249,3.9421892520000004,2.182
61.99754619598389,3.9473318280000003,2.182
62.99860334396362,3.9473318280000003,2.182
63.997660636901855,3.9421892520000004,2.182
64.99771785736084,3.9473318280000003,2.182
65.99877500534058,3.952474404,2.182
66.99783229827881,3.9473318280000003,2.182
67.99788904190063,3.937046676,2.182
68.99794626235962,3.9421892520000004,2.182
69.99900388717651,3.95761698,2.182
70.99806070327759,3.9473318280000003,2.182
71.99811792373657,3.952474404,2.182
72.99817514419556,3.952474404,2.182
73.99823236465454,3.952474404,2.182
74.99828958511353,3.937046676,2.182
75.99934720993042,3.9421892520000004,2.182
76.99740409851074,3.9421892520000004,2.182
77.99746131896973,3.9421892520000004,2.182
78.99851846694946,3.937046676,2.182
79.99857568740845,3.9421892520000004,2.182
80.99763298034668,3.9319041,2.182
81.99869012832642,3.937046676,2.182
82.9987473487854,3.9267615240000002,2.182
83.99880456924438,3.9421892520000004,2.182
84.99886178970337,3.937046676,2.182
85.99891901016235,3.9319041,2.182
86.99897623062134,3.937046676,2.182
87.99803304672241,3.9421892520000004,2.182
88.9990906715393,3.9267615240000002,2.182
89.99814748764038,3.9267615240000002,2.182
90.99820470809937,3.9421892520000004,2.182
91.9972620010376,3.9319041,2.182
92.99731922149658,3.9267615240000002,2.182
93.99737644195557,3.9267615240000002,2.182
94.9984335899353,3.937046676,2.182
95.99749088287354,3.937046676,2.182
96.99754810333252,3.9216189480000003,2.182
97.99860525131226,3.937046676,2.182
98.99766254425049,3.9216189480000003,2.182
99.99771976470947,3.937046676,2.182
100.99777698516846,3.937046676,2.182
101.9988341331482,3.9319041,2.182
102.99789094924927,3.916476372,2.182
103.99794816970825,3.937046676,2.182
104.99800539016724,3.9216189480000003,2.182
105.99806261062622,3.9216189480000003,2.182
106.99912023544312,3.9319041,2.182
107.99717712402344,3.9319041,2.182
108.99823427200317,3.9216189480000003,2.182
109.99829149246216,3.9216189480000003,2.182
110.99834871292114,3.9267615240000002,2.182
111.99740600585938,3.916476372,2.182
112.99846315383911,3.916476372,2.182
113.9985203742981,3.9267615240000002,2.182
114.99857759475708,3.9216189480000003,2.182
115.99763488769531,3.9216189480000003,2.182
116.9976921081543,3.9216189480000003,2.182
117.99774932861328,3.9319041,2.182
118.99880647659302,3.911333796,2.182
119.99786376953125,3.90619122,2.182
120.99792098999023,3.9216189480000003,2.182
121.99897813796997,3.9216189480000003,2.182
122.99903535842896,3.911333796,2.182
123.99809217453003,3.911333796,2.182
124.99714946746826,3.9216189480000003,2.182
125.99720668792725,3.90619122,2.182
126.99826383590698,3.916476372,2.182
127.99832105636597,3.916476372,2.182
128.9973783493042,3.911333796,2.182
129.99743556976318,3.90619122,2.182
130.99849271774292,3.90619122,2.182
131.99755001068115,3.9267615240000002,2.182
132.99760723114014,3.9267615240000002,2.182
133.99766445159912,3.90619122,2.182
134.9977216720581,3.916476372,2.182
135.99877882003784,3.916476372,2.182
136.99883604049683,3.911333796,2.182
137.9978928565979,3.916476372,2.182
138.99795007705688,3.8959060680000004,2.182
139.99700736999512,3.916476372,2.182
140.99806451797485,3.9267615240000002,2.182
141.9971218109131,3.916476372,2.182
142.99817895889282,3.916476372,2.182
143.99723625183105,3.916476372,2.182
144.9982933998108,3.911333796,2.182
