Time [s],DAQ_Voltage_WLTP_[V],Load_Current_WLTP_[A],Unnamed: 3,Time [s].1,DAQ_Voltage_1C_[V],Load_Current_1C_[A]
1252.988667011261,4.124928908079207,0.0,,1252.9906668663025,3.6192354792000003,2.984
1253.9897241592407,4.125285324237625,0.0,,1253.9897241592407,3.618206964,2.984
1254.988781452179,4.126405489306929,0.0,,1254.9897813796997,3.621292509600001,2.984
1255.9898386001587,4.124725241702971,0.0,,1255.988838672638,3.6223210248,2.984
1256.988895893097,4.12391057619802,0.0,,1256.9898958206177,3.6233495399999995,2.984
1257.988953113556,4.124776158297031,0.0,,1257.9899530410767,3.6233495400000004,2.984
1258.988009929657,4.126252739524753,0.0,,1258.989010334015,3.6223210248,2.984
1259.988067150116,4.124928908079208,0.0,,1259.9900674819946,3.6223210248,2.9848
1260.988124370575,4.124266992356435,0.0,,1260.9901247024536,3.6243780552000002,2.9848
1261.988181591034,4.127474737782178,0.0,,1261.9891815185547,3.6212925096,2.9848
1262.9892387390137,4.124674325108912,0.0,,1262.9902391433716,3.6212925096,2.9848
1263.9892959594727,4.124572491920794,0.0,,1263.9892959594727,3.6233495400000004,2.9848
1264.9893531799316,4.1233504936633665,0.0,,1264.9903531074524,3.6192354792000003,2.984
1265.9884104728699,4.124114242574258,0.0,,1265.9894104003906,3.618206964,2.984
1266.9894676208496,4.124419742138615,0.0,,1266.9904675483704,3.6161499336000005,2.984
1267.9885249137878,4.1268128220594065,0.0,,1267.9895248413086,3.6171784488,2.984
1268.9895820617676,4.12553990720792,0.0,,1268.9895820617676,3.6171784488,2.984
1269.9896392822266,4.125794490178218,0.0,,1269.9896392822266,3.6192354791999994,2.984
1270.9886965751648,4.126456405900989,0.0,,1270.9896965026855,3.6171784488,2.984
1271.9887537956238,4.126150906336633,0.0,,1271.9897537231445,3.6192354792000003,2.984
1272.9888110160828,4.126710988871286,0.0,,1272.9898109436035,3.618206964,2.984
1273.9888677597046,4.126252739524753,0.0,,1273.9888682365417,3.6192354792000003,2.984
1274.9879250526428,4.126201822930694,0.0,,1274.9889249801636,3.6192354792000003,2.984
1275.9879822731018,4.126201822930693,0.0,,1275.9899826049805,3.6171784488,2.984
1276.9880394935608,4.127067405029702,0.0,,1276.9900398254395,3.6140929032000004,2.984
1277.9880967140198,4.125743573584159,0.0,,1277.9890966415405,3.6171784488000007,2.984
1278.9881539344788,4.125183491049504,0.0,,1278.9901542663574,3.6171784488,2.984
1279.9882111549377,4.126252739524753,0.0,,1279.9892110824585,3.6151214184000002,2.984
1280.9882683753967,4.125896323366337,0.0,,1280.9892683029175,3.6151214184000002,2.984
1281.9883255958557,4.127016488435642,0.0,,1281.9903259277344,3.618206964,2.984
1282.9883828163147,4.124419742138613,0.0,,1282.9903826713562,3.6140929032000004,2.984
1283.9894399642944,4.127016488435642,0.0,,1283.9904398918152,3.6110073576000006,2.984
1284.9894971847534,4.125132574455446,0.0,,1284.9894971847534,3.6099788424000003,2.984
1285.9885544776917,4.12650732249505,0.0,,1285.9905543327332,3.6089503272,2.984
1286.9886116981506,4.1137781739802,0.12241584158415848,,1286.9896116256714,3.6058647816000002,2.984
1287.9896688461304,4.09977611061386,0.3499702970297034,,1287.9896688461304,3.6068932968000005,2.984
1288.9887261390686,4.097688530257427,0.4809009900990106,,1288.9887261390686,3.6048362664000004,2.984
1289.9877829551697,4.096110115841586,0.5522178217821796,,1289.9887828826904,3.6048362664000004,2.984
1290.9878401756287,4.098605028950496,0.5707524752475245,,1290.9888401031494,3.6048362664000004,2.984
1291.9878973960876,4.100947192277229,0.5458019801980202,,1291.9898977279663,3.6048362664000004,2.984
1292.9889545440674,4.1103667621782165,0.4221782178217812,,1292.9889545440674,3.6058647816000002,2.984
1293.9880118370056,4.123808743009901,0.1625346534653466,,1293.9890117645264,3.6058647816000002,2.984
1294.9880690574646,4.124317908950494,0.0,,1294.9890689849854,3.607921812,2.984
1295.9881262779236,4.125794490178217,0.0,,1295.9891262054443,3.6089503272,2.984
1296.9891834259033,4.124419742138614,0.0,,1296.9891834259033,3.6099788424000003,2.984
1297.9882407188416,4.125438074019802,0.0,,1297.9892406463623,3.6099788424000003,2.984
1298.9892978668213,4.12492890807921,0.0,,1298.990297794342,3.6120358728,2.984
1299.9883551597595,4.127067405029702,0.0,,1299.9893550872803,3.6110073575999997,2.984
1300.9894123077393,4.112301592752478,0.020940594059405935,,1300.9894123077393,3.6089503272,2.984
1301.9894695281982,4.099827027207921,0.21733663366336628,,1301.9894695281982,3.6099788423999994,2.984
1302.9885268211365,4.103493021980199,0.44557425742574175,,1302.9885268211365,3.6079218120000007,2.984
1303.9885840415955,4.100947192277228,0.4702475247524753,,1303.9895839691162,3.607921812,2.984
1304.9886412620544,4.1017618577821775,0.492128712871286,,1304.9896411895752,3.6058647816,2.984
1305.9876980781555,4.100947192277228,0.48430693069306824,,1305.9896984100342,3.6099788423999994,2.984
1306.9887557029724,4.1034930219802,0.45662376237623825,,1306.9887557029724,3.6058647816000002,2.984
1307.9878125190735,4.103900354732675,0.437108910891089,,1307.9898128509521,3.6058647816000002,2.984
1308.9878697395325,4.113167174851484,0.3410297029702974,,1308.9898700714111,3.6048362664000004,2.984
1309.9889268875122,4.1239105761980195,0.1251881188118812,,1309.9899272918701,3.6068932968,2.984
