Time [s],DAQ_Voltage_[V],Charcher_Current_[A]
0.0,3.258226644,0.0
1.0100579261779785,3.2685117960000007,0.0
1.9991145133972168,3.268817295564358,0.0
2.999171733856201,3.2695301278811897,0.0
4.044231414794922,3.2691737117227753,0.0
5.025287628173828,3.269886544039603,0.0
6.021344184875488,3.270701209544555,0.0
6.9994001388549805,3.2696828776633664,0.0
8.000457763671875,3.269988377227723,0.0
8.99951457977295,3.2710067091089114,0.0
9.999571800231934,3.270599376356436,0.0
10.998629093170166,3.3608235810297025,0.6146752475247524
11.99868631362915,3.3790008051089115,2.0
12.998743534088135,3.385467212554456,2.0
13.999800682067871,3.389336873702971,2.0
14.999857902526855,3.3929519518811895,2.0
15.998915195465088,3.397025279405941,2.0
16.998972415924072,3.400334858019804,2.0
17.999029636383057,3.403848103009901,2.0
18.99908685684204,3.406801265465348,2.0
20.000144004821777,3.4093470951683167,2.0
20.99920082092285,3.413064006534651,2.0
22.000258445739746,3.4147442541386135,2.0
22.99931526184082,3.4179010829702974,2.0
24.041375160217285,3.419683163762374,2.0
25.0004301071167,3.422992742376237,2.0
25.99848699569702,3.4258440716435654,2.0
26.998544216156006,3.4271169864950486,2.0
28.042603969573975,3.429866482574257,2.0
28.999658584594727,3.4314448969900995,2.0
30.01371669769287,3.433277894376237,2.0
30.998773097991943,3.435518224514851,2.0
32.06083393096924,3.437962221029705,2.0
32.999887466430664,3.439184219287128,2.0
33.9989447593689,3.441220883049505,2.0
35.00000190734863,3.4422392149306935,2.0
35.999059200286865,3.4441740455049494,2.0
37.0001163482666,3.445345127168315,2.0
37.999173641204834,3.447941873465344,2.0
38.99923086166382,3.4487056223762367,2.0
39.999287605285645,3.4503858699801992,2.0
40.99834489822388,3.4524225337425727,2.0
41.99840211868286,3.4529316996831687,2.0
42.998459339141846,3.4547137804752457,2.0
44.030518531799316,3.4562412782970298,2.0
44.998573780059814,3.458736191405939,2.0
45.9986310005188,3.4587871079999983,2.0
46.99868822097778,3.4590416909702966,2.0
47.99874544143677,3.462402186178217,2.0
48.99880266189575,3.4628604355247505,2.0
49.99985980987549,3.4638278508118785,2.0
50.99891710281372,3.4651007656633657,2.0
51.998974323272705,3.4665264302970296,2.0
52.99903154373169,3.469072259999997,2.0
54.000088691711426,3.4672392626138606,2.0
54.99814558029175,3.47085434079208,2.0
56.03320503234863,3.471058007168316,2.0
56.99925994873047,3.471414423326732,2.0
58.00531768798828,3.472025422455445,2.0
58.998374462127686,3.475538667445543,2.0
59.99843168258667,3.475080418099011,2.0
60.998488903045654,3.4748258351287133,2.0
61.99854612350464,3.4760987499801983,2.0
62.99860334396362,3.4766079159207925,2.0
63.99866056442261,3.4771170818613863,2.0
64.99871778488159,3.4800193277227716,2.0
65.99877500534058,3.479102829029703,2.0
66.99883222579956,3.4811394927920802,2.0
67.99888944625854,3.4814959089504955,2.0
68.99894666671753,3.482921573584159,2.0
69.9980034828186,3.4814959089504938,2.0
70.99806070327759,3.4840417386534663,2.0
71.99911832809448,3.4836853224950493,2.0
72.99917554855347,3.4843981548118803,2.0
73.99923276901245,3.4853146535049504,2.0
75.00028991699219,3.4870967342970314,2.0
75.99834680557251,3.4866384849504954,2.0
76.99940395355225,3.4869949011089103,2.0
77.99846124649048,3.4892352312475263,2.0
78.99851846694946,3.4882168993663383,2.0
79.99857568740845,3.488369649148516,2.0
80.99863290786743,3.4896934805940614,2.0
81.99869012832642,3.4907627290693095,2.0
82.9987473487854,3.490966395445546,2.0
83.99880456924438,3.4911191452277226,2.0
84.99886178970337,3.4927993928316843,2.0
85.99891901016235,3.4920356439207922,2.0
86.99897623062134,3.4918828941386137,2.0
87.99803304672241,3.492544809861388,2.0
88.9980902671814,3.4945814736237626,2.0
89.99814748764038,3.4940723076831697,2.0
91.00120496749878,3.495039722970298,2.0
92.00026226043701,3.495497972316832,2.0
92.99831914901733,3.495803471881188,2.0
93.99937629699707,3.4951415561584174,2.0
94.9984335899353,3.497025470138615,2.0
95.99949073791504,3.496821803762379,2.0
96.99954795837402,3.4970254701386176,2.0
97.99860525131226,3.496465387603962,2.0
98.99866247177124,3.4984511347722784,2.0
99.99871969223022,3.498400218178219,2.0
100.99877691268921,3.4985529679603973,2.0
101.9988341331482,3.4996222164356463,2.0
103.04789400100708,3.5004368819405958,2.0
103.99894857406616,3.4991130504950525,2.0
104.99800539016724,3.5000295491881204,2.0
105.99806261062622,3.5014042972277246,2.0
106.99911975860596,3.501302464039606,2.0
107.99817705154419,3.5014042972277237,2.0
108.99823427200317,3.5019643797623767,2.0
109.99929141998291,3.502779045267329,2.0
110.99834871292114,3.502779045267329,2.0
111.99840593338013,3.504764792435643,2.0
112.99846315383911,3.5041028767128743,2.0
113.9985203742981,3.5034918775841595,2.0
114.99857759475708,3.504204709900992,2.0
115.99863481521606,3.5044592928712888,2.0
116.99869203567505,3.505528541346536,2.0
117.99874925613403,3.5054776247524773,2.0
118.99880647659302,3.5061395404752482,2.0
119.998863697052,3.5067505396039613,2.0
120.99792051315308,3.5059358740990114,2.0
121.99897813796997,3.508074371049506,2.0
122.99803495407104,3.5069542059801986,2.0
124.00409269332886,3.5072597055445547,2.0
124.99914932250977,3.5087872033663374,2.0
125.99920654296875,3.5072597055445547,2.0
126.99826383590698,3.509092702930694,2.0
127.99932098388672,3.509958285029702,2.0
128.9993782043457,3.5079216212673296,2.0
129.99743556976318,3.5101619514059412,2.0
131.00049257278442,3.5098055352475255,2.0
131.99755001068115,3.5106202007524767,2.0
132.99760723114014,3.510722033940595,2.0
