Time [s],DAQ_Voltage_[V],Load_Current_[A]
0.0,4.101609108,0.0
1.0010571479797363,3.926761524,2.0664000000000002
2.0001139640808105,3.9226474632000006,2.583
3.001171588897705,3.9164763720000004,2.583
4.000228404998779,3.9123623112000003,2.583
5.001286029815674,3.911333796,2.583
6.000342845916748,3.9031056744000003,2.583
7.001400470733643,3.9020771592,2.583
8.000457286834717,3.9020771592,2.583
9.000514507293701,3.9020771592,2.583
10.001571655273438,3.9041341895999997,2.583
11.001628875732422,3.9041341896000006,2.583
12.001686096191406,3.9010486440000003,2.583
13.00874376296997,3.9010486440000003,2.583
14.001800537109375,3.9010486440000003,2.583
14.999857902526855,3.8969345832,2.583
15.99991512298584,3.8948775527999997,2.583
16.999972343444824,3.895906068,2.583
18.00102949142456,3.8917920072000003,2.583
19.000086784362793,3.8887064616000004,2.583
20.00114393234253,3.8856209159999997,2.583
21.000200748443604,3.8845924008000003,2.583
22.001258373260498,3.8835638856,2.583
23.001315593719482,3.8825353704000003,2.583
24.000372409820557,3.8835638856,2.583
25.00042963027954,3.8856209159999997,2.583
26.001486778259277,3.8876779464,2.583
27.00054407119751,3.8835638856,2.583
28.000601291656494,3.8835638856,2.583
29.00165843963623,3.88047834,2.583
30.001715660095215,3.8784213096,2.583
30.999773025512695,3.8763642791999997,2.583
31.99983024597168,3.8773927944,2.583
32.999887466430664,3.8763642792000006,2.583
33.99994468688965,3.8743072488,2.583
35.00000190734863,3.8712217032,2.583
36.00105905532837,3.8691646728,2.583
37.00011587142944,3.8681361576,2.583
38.00017309188843,3.8681361576,2.583
39.00023031234741,3.8671076423999997,2.583
40.0002875328064,3.8681361576,2.583
41.00034475326538,3.869164672800001,2.583
42.001402378082275,3.8691646728,2.583
43.00145959854126,3.8660791272,2.583
44.000516414642334,3.8671076424000006,2.583
44.999573707580566,3.8681361576,2.583
45.99963092803955,3.8640220968000003,2.583
46.999688148498535,3.865050612,2.583
47.99974536895752,3.8660791272000004,2.583
48.999802589416504,3.8629935816,2.583
49.99985980987549,3.859908036,2.583
50.99991703033447,3.8640220967999994,2.583
51.99997425079346,3.859908036,2.583
53.00003147125244,3.8578510055999997,2.583
54.000088691711426,3.8568224904000004,2.583
55.00014591217041,3.8568224904000004,2.583
56.00120306015015,3.8557939752,2.583
57.00025987625122,3.8568224904000004,2.583
58.000317096710205,3.8537369448,2.583
59.00037431716919,3.8557939752,2.583
60.000431537628174,3.8557939752,2.583
61.00048875808716,3.8516799144000005,2.583
62.00054597854614,3.8475658536,2.583
62.999603271484375,3.8516799144000005,2.583
63.99966049194336,3.8485943688000006,2.583
64.99971771240234,3.8465373384,2.583
65.99977493286133,3.8465373384,2.583
66.99983215332031,3.8465373383999997,2.583
67.9998893737793,3.844480308,2.583
68.99994659423828,3.8465373384,2.583
70.00000381469727,3.8475658536,2.583
71.00006055831909,3.8465373384,2.583
72.00011777877808,3.8475658536000004,2.583
73.00117540359497,3.8455088232000003,2.583
74.00023221969604,3.8413947624,2.583
75.00028944015503,3.8403662472,2.583
76.00034666061401,3.8393377319999997,2.583
77.000403881073,3.8362521864000003,2.583
77.99946117401123,3.8372807016,2.583
79.00051832199097,3.8372807016,2.583
80.00057554244995,3.834195156,2.583
80.99963283538818,3.8341951560000007,2.583
81.99969005584717,3.8372807016,2.583
83.0007472038269,3.8362521864000003,2.583
83.99980449676514,3.8393377319999997,2.583
84.99986171722412,3.8393377319999997,2.583
86.00091886520386,3.8372807016,2.583
86.99997615814209,3.8372807016,2.583
88.00003337860107,3.8352236712,2.583
89.00009059906006,3.8331666408000005,2.583
90.0011477470398,3.8341951560000007,2.583
90.99920463562012,3.8383092168000004,2.583
91.9992618560791,3.8352236712,2.583
92.99931907653809,3.8372807016,2.583
94.00037622451782,3.8372807016,2.583
94.99943351745605,3.8352236712000005,2.583
95.99949073791504,3.8321381256000002,2.583
97.00054788589478,3.8311096104,2.583
97.99960517883301,3.8269955496000003,2.583
98.99966239929199,3.8228814888000002,2.583
99.99971961975098,3.8249385192000007,2.583
100.99977684020996,3.8228814888000002,2.583
101.99983406066895,3.8228814888000002,2.583
102.99989128112793,3.8228814888000002,2.583
103.99994850158691,3.8218529736,2.583
105.00000524520874,3.8228814888000002,2.583
106.00006246566772,3.8228814888000002,2.583
106.99911975860596,3.8239100039999996,2.583
108.0001769065857,3.8249385192000007,2.583
109.00023412704468,3.8259670344,2.583
110.00029134750366,3.8208244583999997,2.583
110.9993486404419,3.8208244584000006,2.583
112.00040578842163,3.8197959432000004,2.583
112.99946308135986,3.818767428,2.583
113.99952030181885,3.818767428,2.583
114.99957752227783,3.8177389128000003,2.583
115.99963474273682,3.8156818824,2.583
116.9996919631958,3.8136248520000002,2.583
117.99974918365479,3.8146533672000005,2.583
118.99980640411377,3.8156818824,2.583
119.9998631477356,3.8167103976000005,2.583
120.99992036819458,3.818767428,2.583
121.99897766113281,3.8177389128000003,2.583
122.9990348815918,3.8208244583999997,2.583
124.00009202957153,3.8177389128000003,2.583
125.00014925003052,3.818767428,2.583
126.0002064704895,3.8167103976,2.583
127.00026369094849,3.8167103976,2.583
127.99932098388672,3.8136248519999993,2.583
128.9993782043457,3.8136248520000002,2.583
130.00043535232544,3.8125963368,2.583
131.00049257278442,3.8146533672000005,2.583
131.99954986572266,3.8177389128000003,2.583
133.0006070137024,3.8136248520000002,2.583
134.00066423416138,3.8115678215999997,2.583
135.00072145462036,3.8095107911999997,2.583
135.9997787475586,3.8074537608,2.583
136.99983596801758,3.8033397,2.583
