Time [s],DAQ_Voltage_[V],Charcher_Current_[A]
0.0,3.638777268,0.0
1.0000572204589844,3.6346632072,2.3204000000000002
2.0001144409179688,3.6346632072000005,2.9004000000000003
3.000171661376953,3.6336346919999998,2.9004000000000003
4.0002288818359375,3.6377487528000003,2.9002000000000003
5.000286102294922,3.6387772679999997,2.9002
6.001343727111816,3.639805783200001,2.9002
7.000400543212891,3.6449483592,2.9004000000000003
8.000457763671875,3.6521479656,2.9006
9.001514911651611,3.6562620263999994,2.9008
10.000572204589844,3.6572905416000006,2.9006
11.00162935256958,3.6624331176,2.9008
12.001686573028564,3.6624331176,2.9008
12.999743938446045,3.6614046024,2.9008
14.000801086425781,3.658319056800001,2.9006
14.999858379364014,3.6614046023999998,2.9008
15.999915599822998,3.6614046024,2.9008
17.000972747802734,3.6614046024,2.9006
18.00102996826172,3.6603760872000004,2.9006
19.001087188720703,3.6624331176,2.9008
20.000144004821777,3.664490148,2.9006
21.001201629638672,3.6655186632000003,2.9006
22.000258445739746,3.6665471783999997,2.9008
23.001315593719482,3.6706612392,2.9008
24.000372886657715,3.6716897544,2.9008
25.0004301071167,3.6686042088,2.901
26.000487327575684,3.6665471784000006,2.901
27.000544548034668,3.664490148,2.901
28.000601768493652,3.6634616328,2.901
28.999659061431885,3.664490148,2.9008
30.00071620941162,3.6686042088,2.9008
30.999773502349854,3.6727182696000007,2.9008
31.999830722808838,3.6778608456,2.9008
32.99988794326782,3.6788893608000004,2.9008
34.00094509124756,3.6778608456,2.901
35.00100231170654,3.6758038152000005,2.901
36.00105953216553,3.676832330400001,2.901
37.0001163482666,3.6747753000000003,2.901
38.001173973083496,3.6768323304,2.901
39.00123119354248,3.6788893608000004,2.9008
40.000288009643555,3.6830034216,2.9008
41.00034523010254,3.6830034216,2.9008
42.00040245056152,3.6850604520000005,2.9008
43.00145959854126,3.6819749064000007,2.9008
44.00051689147949,3.6819749064,2.901
45.00057411193848,3.6809463912,2.901
45.99963140487671,3.6788893608000004,2.901
47.000688552856445,3.676832330400001,2.901
48.00074577331543,3.676832330400001,2.901
48.99980306625366,3.6778608456,2.901
49.99986028671265,3.679917876,2.901
51.00091743469238,3.6819749064000007,2.901
52.00097465515137,3.6830034216,2.901
53.0000319480896,3.6850604520000005,2.901
54.001089096069336,3.6860889672,2.901
55.00014591217041,3.686088967200001,2.901
56.000203132629395,3.6891745128,2.901
57.00026035308838,3.6932885736000003,2.901
57.99931764602661,3.6932885736000003,2.901
59.00037479400635,3.6974026344000004,2.901
60.00043201446533,3.6943170887999996,2.901
61.000489234924316,3.6943170888000005,2.901
62.0005464553833,3.695345604000001,2.901
63.000603675842285,3.695345604000001,2.901
64.00066089630127,3.6932885736000003,2.901
65.00071811676025,3.6943170887999996,2.901
66.00077533721924,3.6932885736000003,2.901
66.99983263015747,3.690203028,2.901
68.0008897781372,3.6922600584,2.901
69.00094699859619,3.6974026344000004,2.901
70.00100421905518,3.7035737256000005,2.901
71.00106143951416,3.704602240800001,2.901
72.00011825561523,3.7076877864,2.901
72.99917554855347,3.7087163016,2.901
