Time [s],DAQ_Voltage_[V],Load_Current_[A]
0.0,4.173605172,0.0
0.9990572929382324,4.032698589600001,1.7920000000000003
1.9991145133972168,3.998757588,2.3896
3.000171661376953,3.9977290728,2.9872
3.9992289543151855,3.9956720424,2.9871999999999996
5.000286102294922,3.9977290728,2.9863999999999997
6.000343322753906,3.9956720424000003,2.9864
7.000400543212891,3.9925864968,2.9864
8.000457763671875,3.9895009512,2.9863999999999997
8.999515056610107,3.9853868904,2.9863999999999997
9.999572277069092,3.9823013448000006,2.9871999999999996
10.999629497528076,3.9781872840000005,2.988
11.99968671798706,3.9751017384000003,2.988
13.000743865966797,3.9740732232,2.988
14.000801086425781,3.9740732232,2.988
14.998857975006104,3.9730447080000006,2.988
15.99991512298584,3.9740732232,2.988
16.998972415924072,3.9720161928000004,2.9872
17.999029636383057,3.9720161928000004,2.9872
19.000086784362793,3.9720161928000004,2.9872
20.000144004821777,3.9699591624,2.9871999999999996
21.00020122528076,3.9668736168,2.9871999999999996
22.000258445739746,3.9668736168,2.988
22.99931573867798,3.9658451016000003,2.988
23.999372959136963,3.9627595560000004,2.988
25.0004301071167,3.9617310408,2.988
25.99948740005493,3.9617310408,2.988
26.999544620513916,3.9596740104000006,2.988
27.9996018409729,3.95761698,2.988
28.999658584594727,3.9607025256,2.988
29.99871587753296,3.9596740103999997,2.988
30.998773097991943,3.9596740104000006,2.988
31.998830318450928,3.9586454952000003,2.988
32.99888753890991,3.9596740104000006,2.988
33.9989447593689,3.9565884648000007,2.988
35.00000190734863,3.9555599496,2.988
36.00005912780762,3.9545314344000007,2.988
36.99911642074585,3.9555599496,2.988
38.000173568725586,3.9504173736000006,2.988
39.00023078918457,3.952474404,2.988
39.9992880821228,3.9535029192000004,2.988
40.99934530258179,3.9493888584000003,2.988
41.99940252304077,3.9483603432,2.988
43.00045967102051,3.952474404,2.988
43.99851655960083,3.948360343200001,2.988
44.999573707580566,3.9473318280000003,2.988
45.9986310005188,3.9483603432,2.988
46.999688148498535,3.9483603432,2.988
47.99974536895752,3.9473318280000003,2.988
48.999802589416504,3.9483603432,2.988
49.99985980987549,3.9452747976000007,2.988
50.99991703033447,3.9442462824000004,2.988
51.99997425079346,3.9432177672,2.988
52.99903154373169,3.942189252,2.988
54.000088691711426,3.942189252,2.9872
55.00014591217041,3.942189252,2.9872
55.99920320510864,3.9432177672,2.9864
57.00026035308838,3.942189252,2.9863999999999997
58.00031757354736,3.9401322216000003,2.9863999999999997
58.998374462127686,3.937046676,2.9871999999999996
59.99843168258667,3.9391037064,2.9863999999999997
60.999489307403564,3.937046676,2.9864
61.99854612350464,3.9391037064,2.9856000000000003
62.99860334396362,3.9391037064,2.9856
63.99966049194336,3.9411607367999997,2.9848
64.99871778488159,3.9391037064,2.9848
65.99877500534058,3.9401322216000003,2.9856
66.99983215332031,3.937046676,2.9863999999999997
67.9998893737793,3.9360181607999998,2.9856
68.99994659423828,3.9339611304,2.9856
70.00000381469727,3.9319041000000006,2.9864
70.9990611076355,3.9308755848,2.9863999999999997
71.99911832809448,3.9319041000000006,2.9856
72.99917554855347,3.9339611304,2.9863999999999997
74.0002326965332,3.9329326152,2.9864
74.99928998947144,3.9339611304,2.9863999999999997
75.99934720993042,3.9360181608000007,2.9863999999999997
76.9994044303894,3.9349896456000004,2.9871999999999996
77.99946117401123,3.9339611304,2.9871999999999996
78.99851846694946,3.9349896456000004,2.988
79.9995756149292,3.9349896456000004,2.988
80.99963283538818,3.9319041000000006,2.988
81.99869012832642,3.9339611304,2.988
82.99974727630615,3.9339611304,2.988
83.99980449676514,3.9339611304,2.9872
84.99986171722412,3.9360181608000007,2.9864
85.99891901016235,3.9349896456000004,2.9864
86.99897623062134,3.9339611304,2.9856
87.99903345108032,3.9308755848000003,2.9848
89.00009059906006,3.9308755848000003,2.9848
89.99814748764038,3.9277900392000005,2.9856
90.99820470809937,3.926761524,2.9848
91.99926233291626,3.9257330088000004,2.9848
92.99831914901733,3.9257330088000004,2.9856
93.99837636947632,3.9267615240000007,2.9856
94.99943399429321,3.9267615240000007,2.9856
95.99849081039429,3.926761524,2.9863999999999997
96.99954843521118,3.9247044936,2.9871999999999996
97.99860525131226,3.9236759784,2.9863999999999997
98.99966239929199,3.9205904328,2.9872
99.99871969223022,3.9195619176000003,2.9872
100.99877691268921,3.9185334024000005,2.9871999999999996
101.9988341331482,3.9216189480000003,2.9871999999999996
102.99989128112793,3.9226474631999997,2.988
103.99894857406616,3.9236759784,2.9872
105.0000057220459,3.9216189480000003,2.9864
105.99806308746338,3.9226474632000006,2.9864
106.99912023544312,3.9205904328,2.9863999999999997
107.99817752838135,3.9185334024,2.9863999999999997
108.99823427200317,3.9195619176000003,2.9863999999999997
109.99829149246216,3.9226474631999997,2.9864
110.99934911727905,3.9257330088000004,2.9864
111.99940633773804,3.9226474631999997,2.9856
112.99946308135986,3.9257330088000004,2.9856
113.99952030181885,3.9247044936,2.9863999999999997
114.99957752227783,3.9236759784,2.9863999999999997
115.99963474273682,3.9205904328,2.9856
116.9996919631958,3.921618948,2.9864
117.99874925613403,3.9216189480000003,2.9856
118.99880647659302,3.9195619176000003,2.9848
