Time [s],DAQ_Voltage_[V],Charcher_Current_[A]
0.0,3.618206964,0.0
1.0000572204589844,3.6408342984,1.3194
2.0011143684387207,3.6428913288,1.7591999999999999
3.000171661376953,3.6449483592,2.1992
4.0012288093566895,3.6459768744,2.1992000000000003
5.000286102294922,3.6470053896000003,2.1992000000000003
6.000343322753906,3.6449483592,2.1992000000000003
7.000400543212891,3.6521479655999998,2.1992000000000003
8.000457763671875,3.6562620264000003,2.199
9.00051498413086,3.6572905416000006,2.199
10.000572204589844,3.659347572,2.199
11.000629425048828,3.6624331176000005,2.199
12.000686645507812,3.6624331176,2.199
13.000743865966797,3.6624331176,2.199
14.000801086425781,3.6655186632000003,2.199
15.000858306884766,3.6675756936,2.199
15.99991512298584,3.667575693600001,2.199
16.999972343444824,3.6665471784000006,2.199
18.00102996826172,3.6655186632000003,2.199
19.000086784362793,3.6634616328,2.1992
20.00114393234253,3.664490148,2.1992000000000003
21.00020122528076,3.6665471783999997,2.1992000000000003
22.000258445739746,3.6686042088,2.1992000000000003
23.001315593719482,3.6747752999999994,2.1992000000000003
24.000372886657715,3.6768323304,2.199
25.00143003463745,3.679917876,2.199
26.001487255096436,3.6809463912,2.199
27.00154447555542,3.6819749064000007,2.1992
27.9996018409729,3.6809463912,2.1992000000000003
29.000658988952637,3.679917876,2.1992000000000003
30.00071620941162,3.679917876,2.1992000000000003
31.000773429870605,3.6830034216,2.1992000000000003
31.99983024597168,3.6840319368000003,2.199
32.999887466430664,3.6871174824000006,2.199
34.00094509124756,3.6902030280000004,2.199
35.00000190734863,3.6871174824,2.199
36.00005912780762,3.6871174824,2.199
37.00111627578735,3.6881459976000004,2.199
38.000173568725586,3.6881459976000004,2.199
39.00023078918457,3.6902030280000004,2.199
40.00128793716431,3.6932885736000003,2.199
41.00134515762329,3.6922600584,2.199
42.001402378082275,3.6943170888000005,2.199
43.00045967102051,3.6881459976000004,2.199
43.99951696395874,3.6891745128,2.199
44.999574184417725,3.6871174824000006,2.199
45.99963140487671,3.6881459976000004,2.199
46.999688148498535,3.6902030280000004,2.199
48.00074577331543,3.6974026344000004,2.199
48.999802589416504,3.6974026344000004,2.199
49.99985980987549,3.6994596648000004,2.199
50.99991703033447,3.6984311496,2.199
51.99997425079346,3.6943170887999996,2.199
53.00003147125244,3.6922600584,2.199
54.001089096069336,3.6932885736000003,2.199
55.00014591217041,3.6912315432,2.199
56.00120306015015,3.6963741192,2.199
57.00126028060913,3.6984311496,2.199
58.00031757354736,3.6974026344000004,2.199
59.0013747215271,3.6963741192,2.199
59.99943208694458,3.7004881800000007,2.199
61.000489234924316,3.70048818,2.199
62.0005464553833,3.6994596648,2.199
62.999603271484375,3.7035737255999996,2.199
63.99966049194336,3.70048818,2.199
64.99971771240234,3.6994596648,2.199
65.99977493286133,3.6994596648,2.199
66.99983215332031,3.7035737256000005,2.199
68.0008897781372,3.7004881800000007,2.199
68.99994659423828,3.7025452104000003,2.199
70.00100374221802,3.70048818,2.199
71.00006103515625,3.7015166952,2.199
72.00111818313599,3.6984311496,2.199
73.00117540359497,3.6994596648000004,2.199
74.00123262405396,3.7025452104000003,2.199
75.00028991699219,3.7076877864,2.199
75.99934720993042,3.7076877864,2.199
77.00040435791016,3.7097448168000007,2.199
77.99946165084839,3.7087163016000004,2.199
79.00051879882812,3.7076877864,2.199
79.99957609176636,3.7066592712000004,2.199
81.0006332397461,3.7025452104000003,2.199
81.99969005584717,3.705630756,2.199
82.99974727630615,3.705630756,2.199
84.00080490112305,3.7035737256000005,2.199
84.99986171722412,3.7035737255999996,2.199
86.00091886520386,3.7087163016000004,2.199
87.00097608566284,3.7066592712000004,2.199
88.00103330612183,3.710773332,2.199
89.00109052658081,3.7159159080000004,2.199
89.99914789199829,3.7169444232,2.199
91.00020503997803,3.7159159080000004,2.199
92.00026226043701,3.7138588776000008,2.199
92.99931955337524,3.7128303624000005,2.199
94.00037670135498,3.7118018472000003,2.199
94.99943399429321,3.7159159080000004,2.199
95.99949073791504,3.7179729384000004,2.199
96.99954795837402,3.7190014536000007,2.199
98.00060558319092,3.7220869991999996,2.199
99.0006628036499,3.7231155144,2.199
100.00072002410889,3.7190014536,2.199
100.99977684020996,3.7220869992000005,2.199
101.99983406066895,3.72620106,2.199
102.99989128112793,3.7272295752000004,2.199
103.99994850158691,3.7292866056,2.199
105.00100564956665,3.7334006664,2.199
106.00006294250488,3.7282580904,2.199
107.00012016296387,3.7282580904,2.199
108.00017738342285,3.7241440296,2.199
108.99923467636108,3.7200299688,2.199
110.00029182434082,3.7179729384000004,2.199
111.0003490447998,3.7210584839999994,2.199
111.99940633773804,3.7190014536,2.199
112.99946355819702,3.7200299688,2.199
114.00052070617676,3.7241440296000006,2.199
114.99957799911499,3.72620106,2.199
115.99963474273682,3.7241440296,2.199
117.00069236755371,3.7303151208000003,2.199
118.0007495880127,3.7292866056,2.199
119.00080633163452,3.7272295752000004,2.199
119.99986362457275,3.7282580904000007,2.199
120.99892091751099,3.7282580904,2.199
121.99897813796997,3.7210584840000003,2.199
123.0000352859497,3.7241440296,2.199
123.99909257888794,3.7272295752,2.199
124.99914979934692,3.7200299688,2.199
125.99920701980591,3.7200299688,2.199
126.99926424026489,3.7251725448000004,2.199
128.00032138824463,3.7272295752,2.199
128.99937868118286,3.7251725448000004,2.199
130.0004358291626,3.7313436359999996,2.199
130.99949264526367,3.7303151207999994,2.199
132.00055027008057,3.7292866055999996,2.199
132.99960708618164,3.7292866056,2.199
133.99966430664062,3.7292866056,2.199
135.00172185897827,3.7272295752000004,2.199
135.99877882003784,3.7344291816000004,2.199
136.99983596801758,3.7334006664,2.199
137.99989318847656,3.7334006664,2.199
138.99995040893555,3.736486212,2.199
139.99900770187378,3.7406002728000005,2.199
140.99906492233276,3.736486212,2.199
141.99912214279175,3.7375147272000007,2.199
142.99917936325073,3.7395717576000003,2.199
143.99923658370972,3.7406002728000005,2.199
145.00029373168945,3.7375147272000007,2.199
146.00035095214844,3.7364862120000004,2.199
146.99940824508667,3.7375147271999998,2.199
148.0004653930664,3.7385432424,2.199
148.99952268600464,3.7385432424,2.199
150.00057983398438,3.7385432424,2.199
150.9986367225647,3.7406002728000005,2.199
151.99869394302368,3.741628788,2.199
152.99975109100342,3.7395717576000003,2.199
153.9998083114624,3.7385432424,2.199
154.99886560440063,3.7447143336,2.199
155.99892282485962,3.7467713640000007,2.199
156.99997997283936,3.7457428488000004,2.199
157.9990372657776,3.7457428488000004,2.199
158.99909448623657,3.7477998792,2.199
160.0001516342163,3.7447143335999997,2.199
160.99920892715454,3.7447143336,2.199
162.00026607513428,3.7457428488000004,2.199
162.9993233680725,3.7436858184000004,2.199
163.9993805885315,3.7426573032,2.199
165.00043773651123,3.7447143336,2.199
165.99849462509155,3.7467713639999998,2.199
166.99855184555054,3.7508854248000008,2.199
167.99960899353027,3.75191394,2.199
168.9986662864685,3.7539709703999997,2.199
169.9987235069275,3.75191394,2.199
170.99878072738647,3.75191394,2.199
171.99883794784546,3.75191394,2.199
172.9998950958252,3.7539709704,2.199
173.99995231628418,3.7539709704,2.199
175.00000953674316,3.7539709704,2.199
175.9990668296814,3.7529424552000004,2.199
177.00012397766113,3.7539709704,2.199
178.00018119812012,3.7560280007999998,2.199
179.0002384185791,3.7560280007999998,2.199
180.0002956390381,3.7601420616,2.199
181.00035285949707,3.7642561224000004,2.199
181.99940967559814,3.7621990920000004,2.199
182.99846696853638,3.7611705768,2.199
183.9995241165161,3.7632276071999997,2.199
184.99858140945435,3.7611705768,2.199
185.99863862991333,3.7580850312000003,2.199
186.99869585037231,3.7591135464000005,2.199
187.9987530708313,3.7621990920000004,2.199
188.99881029129028,3.7611705768,2.199
189.99986743927002,3.7611705768,2.199
190.99892473220825,3.7611705768,2.199
191.999981880188,3.7611705768,2.199
192.99903917312622,3.7580850312000003,2.199
194.00009632110596,3.7611705768,2.199
195.00015354156494,3.7642561224,2.199
196.00021076202393,3.7663131528,2.199
197.0002679824829,3.7683701832000005,2.199
197.99832487106323,3.772484244,2.199
198.99838209152222,3.7673416680000003,2.199
199.9984393119812,3.7663131528,2.199
200.99849653244019,3.7663131528,2.199
201.99955368041992,3.7683701832000005,2.199
202.9996109008789,3.7693986984000007,2.199
203.99866819381714,3.7735127592000004,2.199
204.99872541427612,3.7735127592000004,2.199
205.9987826347351,3.7735127592000004,2.199
206.9988398551941,3.7745412743999998,2.199
207.99889707565308,3.772484244,2.199
208.9999542236328,3.7714557288000004,2.199
209.99901151657104,3.7745412743999998,2.199
210.99906873703003,3.7735127592000004,2.199
211.999125957489,3.7693986984000007,2.1992
212.999183177948,3.772484244,2.1994
213.99924039840698,3.7755697896,2.1994
214.9992971420288,3.772484244,2.1994
215.99835443496704,3.7745412744000006,2.1994
216.99941158294678,3.7745412744000006,2.1992000000000003
217.99946880340576,3.772484244,2.199
218.998526096344,3.772484244,2.199
219.99958324432373,3.772484244,2.199
220.99864053726196,3.7714557288000004,2.199
221.9996976852417,3.772484244,2.199
222.99875497817993,3.7735127592,2.199
223.99881219863892,3.7735127592000004,2.199
224.9988694190979,3.7755697896,2.199
225.99992656707764,3.7796838504,2.199
226.99898386001587,3.7827693960000004,2.199
228.0000410079956,3.7837979111999998,2.199
228.99809789657593,3.7837979111999998,2.199
229.99915552139282,3.7837979111999998,2.199
230.9982123374939,3.7817408808,2.199
231.9992699623108,3.7786553352,2.199
232.99832677841187,3.7776268200000005,2.199
233.99938440322876,3.7776268200000005,2.199
234.99844121932983,3.7765983048000002,2.199
235.99949836730957,3.7786553352,2.199
236.99955558776855,3.7807123656000003,2.199
237.99961280822754,3.7796838504,2.199
238.99867010116577,3.7827693960000004,2.199
239.99872732162476,3.7868834567999996,2.199
240.99878454208374,3.7848264264,2.199
241.99884176254272,3.7868834568000005,2.199
242.99989891052246,3.7899690024000003,2.199
243.99795579910278,3.7879119720000007,2.199
244.99901342391968,3.7848264264,2.199
245.99807024002075,3.7848264264,2.199
246.99912786483765,3.7858549416000002,2.199
247.99918508529663,3.787911972,2.199
248.9982419013977,3.7899690024000003,2.199
249.99929904937744,3.7930545479999997,2.199
250.99835634231567,3.7940830632,2.199
251.9994134902954,3.7920260328000004,2.199
252.9994707107544,3.7899690024000003,2.199
253.99852800369263,3.7889404872,2.199
254.9985852241516,3.7868834568000005,2.199
255.9986424446106,3.7858549416000002,2.199
256.99969959259033,3.7848264264,2.199
257.99875688552856,3.7827693960000004,2.199
258.99881410598755,3.7796838504000005,2.199
259.9978713989258,3.7827693960000004,2.199
260.9989285469055,3.7858549416000002,2.199
261.9979853630066,3.7889404872,2.199
262.9990429878235,3.7899690024000003,2.199
263.99809980392456,3.7940830632,2.199
264.9991569519043,3.7940830632,2.1992
265.9992141723633,3.7940830632,2.1992000000000003
266.9982714653015,3.7930545479999997,2.1992000000000003
267.99932861328125,3.7951115784000002,2.1992000000000003
268.99938583374023,3.7951115784000002,2.1992000000000003
269.9994430541992,3.7930545479999997,2.199
270.99850034713745,3.7920260328000004,2.199
271.9995574951172,3.7930545479999997,2.199
272.9986147880554,3.7899690024000003,2.199
273.9986720085144,3.7899690024000003,2.199
274.9987292289734,3.7920260328,2.199
275.99778604507446,3.7940830632,2.199
276.99884366989136,3.7940830632,2.199
277.99890089035034,3.7992256392000003,2.199
278.9989581108093,3.7992256392000003,2.199
279.9990153312683,3.7992256392000003,2.1992
280.9990725517273,3.798197124,2.1992000000000003
281.99812936782837,3.8002541544,2.1992000000000003
282.99918699264526,3.8012826696,2.1994
283.99824380874634,3.8043682152000002,2.1994
284.9993009567261,3.8023111847999997,2.1992000000000003
285.99935817718506,3.8043682152000002,2.1992000000000003
286.99941539764404,3.8043682152000002,2.1994
287.9984726905823,3.8064252456000007,2.1994
288.9975299835205,3.8002541544,2.1996
289.99858713150024,3.8012826696,2.1997999999999998
290.9976444244385,3.8002541544,2.2
